Number,ID,OBJECTID,LINE_NO,GMT_DATE,GMT_TIME,LMT_DATE,LMT_TIME,ECEF_X,ECEF_Y,ECEF_Z,LATITUDE,LONGITUDE,HEIGHT,DOP,NAV,VALIDATED,SATS_USED,CH1_SATID,CH1_C_N,CH2_SATID,CH2_C_N,CH3_SATID,CH3_C_N,CH4_SATID,CH4_C_N,CH5_SATID,CH5_C_N,CH6_SATID,CH6_C_N,CH7_SATID,CH7_C_N,CH8_SATID,CH8_C_N,CH9_SATID,CH9_C_N,CH10_SATID,CH10_C_N,CH11_SATID,CH11_C_N,CH12_SATID,CH12_C_N,MAIN_VOL,BU_VOL,TEMP,CLK_OFFSET,REMARKS,Year,Month,Day,LandCover,Roads_Dist,Wetlands_D,Water_Dist,scale_Elev,scale_Slop,scale_RELa,PercentC,PercentN,PercentP,qtyC,qtyN,qtyP,CNratio,CPratio,NPratio,FID_Forest,OBJECTID_1,FORESTID,FORESTTYPE,STOCKING,SITECODE,SHAPE_Leng,SHAPE_Area,OBJECTID_2,SPCOMP,STRATUM,AGE_CODE,HGT_CODE,CDEN_CODE,RR_SUBTYPE,FORESTID_1,OID_,Device_ID,Altitude,Fix_Status,Temp__C_,Main__V_,Back__V_,...83,...84,...85,...86,itime,idate,datetime,EASTING,NORTHING
0,PPM002,3731,633,2013-06-01T00:00:00Z,06:01:47,2013-06-01T00:00:00Z,02:31:47,2201522,-3360328,4937471,51.0554277,-56.7691504,61.91,2.8,3D,Yes,5,4,41,5,44,10,38,26,38,29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.62,11,0.998,,2013,6,1,18,704.724,1994.82,111.427,-1.48330089307,-0.924452050531,-0.0131413628132,49.7696788846,2.47068007252,0.211728908816,-2.38459965414,-5.38276997041,-7.83779334302,23.3471531195,604.745683451,26.0427991433,12019,1270486,1048239,1,ST,P,670.408312946,18183.4051,465707,bFbS,bF43,7,4,3,1,1048239,,,,,,,,,,,,06:01:47,2013-06-01,2013-06-01T06:01:47Z,516179.307062831,5656014.03739418
1,PPM002,3732,634,2013-06-01T00:00:00Z,08:01:31,2013-06-01T00:00:00Z,04:31:31,2201490,-3360374,4937446,51.05514,-56.7698916,55.63,2.2,3D,Yes,6,5,44,7,35,8,32,10,32,26,41,29,44,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.6,6,0.001,,2013,6,1,18,704.724,1994.82,111.427,-1.48330089307,-0.924452050531,-0.0131413628132,49.7696788846,2.47068007252,0.211728908816,-2.38459965414,-5.38276997041,-7.83779334302,23.3471531195,604.745683451,26.0427991433,12019,1270486,1048239,1,ST,P,670.408312946,18183.4051,465707,bFbS,bF43,7,4,3,1,1048239,,,,,,,,,,,,08:01:31,2013-06-01,2013-06-01T08:01:31Z,516127.459370594,5655981.88129218
6,PPM002,3737,639,2013-06-01T00:00:00Z,18:00:56,2013-06-01T00:00:00Z,14:30:56,2201387,-3360227,4937607,51.0573039,-56.7699715,68.08,6.2,3D,Yes,5,13,41,16,35,23,38,29,47,31,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.56,12,0.006,,2013,6,1,1,922.219,1761.81,284.083,-1.47129798603,-0.756921243661,-1.54112276979,49.7590896472,2.61483844404,0.223097919611,-2.21127020835,-5.16127737479,-7.62642881918,22.3858282797,586.890256474,26.2265618485,12020,1270487,1048240,1,ST,P,769.628870305,11433.4178999,465708,bFbS,bF43,7,4,3,1,1048240,,,,,,,,,,,,18:00:56,2013-06-01,2013-06-01T18:00:56Z,516121.108080956,5656222.49958116
8,PPM002,3739,641,2013-06-01T00:00:00Z,22:00:47,2013-06-01T00:00:00Z,18:30:47,2201382,-3360222,4937603,51.0573297,-56.7699921,60.62,4,3D,Yes,6,1,47,3,44,6,35,7,41,11,50,19,38,0,0,0,0,0,0,0,0,0,0,0,0,3.34,3.58,11,0.998,,2013,6,1,1,922.219,1761.81,284.083,-1.47129798603,-0.756921243661,-1.54112276979,49.7590896472,2.61483844404,0.223097919611,-2.21127020835,-5.16127737479,-7.62642881918,22.3858282797,586.890256474,26.2265618485,12020,1270487,1048240,1,ST,P,769.628870305,11433.4178999,465708,bFbS,bF43,7,4,3,1,1048240,,,,,,,,,,,,22:00:47,2013-06-01,2013-06-01T22:00:47Z,516119.65541275,5656225.36415418
10,PPM002,3741,643,2013-06-02T00:00:00Z,02:00:26,2013-06-01T00:00:00Z,22:30:26,2201377,-3360217,4937623,51.0574911,-56.7700127,71.82,4.4,3D,Yes,4,1,41,17,38,20,50,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,3.6,7,0.998,,2013,6,2,1,922.219,1761.81,284.083,-1.48330089307,-0.799581124339,-1.23820560746,49.7590896472,2.61483844404,0.223097919611,-2.21127020835,-5.16127737479,-7.62642881918,22.3858282797,586.890256474,26.2265618485,12020,1270487,1048240,1,ST,P,769.628870305,11433.4178999,465708,bFbS,bF43,7,4,3,1,1048240,,,,,,,,,,,,02:00:26,2013-06-02,2013-06-02T02:00:26Z,516118.155667814,5656243.3080835
12,PPM002,3743,645,2013-06-02T00:00:00Z,06:02:01,2013-06-02T00:00:00Z,02:32:01,2201258,-3360182,4937686,51.0585076,-56.7711589,61.43,3.4,3D,Yes,5,4,35,5,38,10,41,13,29,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.58,4,0.002,,2013,6,2,1,952.029,1662.09,111.427,-1.48330089307,-0.924452050531,-0.0131413628132,49.7805172672,2.54415881273,0.219875231615,-2.94692648628,-5.92116761867,-8.37579189027,22.8795403467,596.011500051,26.0435772384,12020,1270487,1048240,1,ST,P,769.628870305,11433.4178999,465708,bFbS,bF43,7,4,3,1,1048240,,,,,,,,,,,,06:02:01,2013-06-02,2013-06-02T06:02:01Z,516037.475685382,5656356.09749841
16,PPM002,3747,649,2013-06-02T00:00:00Z,14:01:30,2013-06-02T00:00:00Z,10:31:30,2200981,-3359913,4938013,51.0629894,-56.7723614,78.96,3.6,2D,No,3,12,38,14,38,22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.54,12,0.997,,2013,6,2,1,1420.42,1105.88,393.952,-1.21923693817,0.672494649299,-1.82362995773,50.1831012099,2.27882271037,0.201708974799,-3.00810635833,-6.07405229367,-8.50240686543,24.6360710236,625.704981368,25.4536748993,5942,1229967,1032256,1,ST,M,2404.54219836,74746.134,494635,bF,bF42,4,4,2,1,1032256,,,,,,,,,,,,14:01:30,2013-06-02,2013-06-02T14:01:30Z,515951.662849322,5656854.23386992
21,PPM002,3753,655,2013-06-03T00:00:00Z,02:02:44,2013-06-02T00:00:00Z,22:32:44,2200978,-3359926,4937981,51.0627441,-56.7724988,59.87,5.6,3D,No,4,4,35,17,41,20,38,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.6,8,0.995,,2013,6,3,1,1346.37,1184.48,315.162,-1.21923693817,0.672494649299,-1.82362995773,50.1831012099,2.27882271037,0.201708974799,-3.00810635833,-6.07405229367,-8.50240686543,24.6360710236,625.704981368,25.4536748993,5942,1229967,1032256,1,ST,M,2404.54219836,74746.134,494635,bF,bF42,4,4,2,1,1032256,,,,,,,,,,,,02:02:44,2013-06-03,2013-06-03T02:02:44Z,515942.118873026,5656826.92558704
25,PPM002,3757,659,2013-06-03T00:00:00Z,10:01:36,2013-06-03T00:00:00Z,06:31:36,2201040,-3359682,4938130,51.0647753,-56.7698517,68.85,2.8,3D,Yes,5,5,38,9,29,15,41,18,38,26,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.58,4,0.005,,2013,6,3,6,1656.48,996.63,573.603,-1.20723403113,-0.165121140743,1.34262593726,49.5031344538,2.58274201189,0.243307737333,-1.45359060392,-4.41186464571,-6.78491705951,22.6157527163,543.90126551,24.1602086439,6878,1235256,1041637,1,ST,M,1686.30643408,53276.52245,472376,bFbS,bF42,5,4,2,1,1041637,,,,,,,,,,,,10:01:36,2013-06-03,2013-06-03T10:01:36Z,516126.90811536,5657053.38103593
31,PPM002,3763,665,2013-06-03T00:00:00Z,22:02:23,2013-06-03T00:00:00Z,18:32:23,2201052,-3359639,4938162,51.0651616,-56.7693723,75.27,2.8,2D,No,3,7,35,8,32,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,3.54,7,0.004,,2013,6,3,6,1728.01,922.219,649.723,-1.19523112409,-0.287866258273,1.1057631064,49.5031344538,2.58274201189,0.243307737333,-1.45359060392,-4.41186464571,-6.78491705951,22.6157527163,543.90126551,24.1602086439,6878,1235256,1041637,1,ST,M,1686.30643408,53276.52245,472376,bFbS,bF42,5,4,2,1,1041637,,,,,,,,,,,,22:02:23,2013-06-03,2013-06-03T22:02:23Z,516160.365997895,5657096.44453308
